grouping_mark	ref_mark	grouping-high_ref-high	grouping-high_ref-low	grouping-low_ref-high	grouping-low_ref-low	OR	CI95.low	CI95.high
AID_regions	OGG1_GOx30_chipseq	239202	797889	33896238	185340684	1.6392302122722506	1.6317577029620192	1.6467518018223601
MSH6_control	OGG1_GOx30_chipseq	14215005	69199368	19920435	116939205	1.2058741235491741	1.2049634590111975	1.2067313261341572
OGG1_GOx60_chipseq	OGG1_GOx30_chipseq	13375734	9114783	20759706	177023790	12.51363760124975	12.49329683718634	12.526421679721487
SETD2_control	OGG1_GOx30_chipseq	11716755	71240436	22418685	114898137	0.8429152733779959	0.8422454281729258	0.8435667458076203
TP53_dauno_K562	OGG1_GOx30_chipseq	11248410	45971271	22887030	140167302	1.4985174983794352	1.4972194796083027	1.4996512892348308
TP53_dauno_MOLM13	OGG1_GOx30_chipseq	3345216	14671563	30790224	171467010	1.269741579860209	1.2681882976590153	1.2712471834274373
UV_XRseq_NHF1_CPD_1h	OGG1_GOx30_chipseq	1905360	10684869	32230080	175453704	0.970748145231006	0.969193024150422	0.9723469503756942
UV_XRseq_NHF1_PP64_1h_Rep1	OGG1_GOx30_chipseq	4936275	30105081	29199165	156033492	0.8762095676248312	0.8752678949777057	0.8770891329048377
XRCC4	OGG1_GOx30_chipseq	5760285	34301226	28375155	151837347	0.8986187903864156	0.8977487151724199	0.8994619506180521
AID_regions	OGG1_GOx60_chipseq	171378	865713	22319139	196917783	1.7465763688103593	1.7374964286510313	1.755672328164271
MSH6_control	OGG1_GOx60_chipseq	9736164	73678209	12754353	124105287	1.2857979266966701	1.2846551970067306	1.2869144249662328
SETD2_control	OGG1_GOx60_chipseq	7088574	75868617	15401943	121914879	0.7395683055242375	0.7388540624648554	0.7402799281932652
TP53_dauno_K562	OGG1_GOx60_chipseq	8113617	49106064	14376900	148677432	1.7086338121718636	1.7070993599052295	1.7103062298643859
TP53_dauno_MOLM13	OGG1_GOx60_chipseq	2345421	15671358	20145096	182112138	1.3529538144108124	1.3510919905055607	1.3549147393634857
UV_XRseq_NHF1_CPD_1h	OGG1_GOx60_chipseq	1359309	11230920	21131208	186552576	1.0685319955301094	1.0665399163103306	1.0704962175597494
UV_XRseq_NHF1_PP64_1h_Rep1	OGG1_GOx60_chipseq	3544755	31496601	18945762	166286895	0.9877971976360019	0.9865985337991829	0.98900283333888
XRCC4	OGG1_GOx60_chipseq	3786063	36275448	18704454	161508048	0.9012069820506556	0.9001750169219155	0.9022438329996689
AID_regions	UV_XRseq_NHF1_CPD_1h	102336	934755	12487893	206749029	1.8125065543294787	1.8007706207855663	1.824355029085834
MSH6_control	UV_XRseq_NHF1_CPD_1h	5108262	78306111	7481967	129377673	1.1280274096534935	1.1266919888845752	1.1293326957137297
SETD2_control	UV_XRseq_NHF1_CPD_1h	3751263	79205928	8838966	128477856	0.6884097022187189	0.6875090366399921	0.6892618632759298
TP53_dauno_K562	UV_XRseq_NHF1_CPD_1h	3916239	53303442	8673990	154380342	1.307637983125698	1.306071492224888	1.3092152000935382
TP53_dauno_MOLM13	UV_XRseq_NHF1_CPD_1h	1175823	16840956	11414406	190842828	1.1673331507092901	1.1650145668060017	1.1696646955009364
UV_XRseq_NHF1_PP64_1h_Rep1	UV_XRseq_NHF1_CPD_1h	3568044	31473312	9022185	176210472	2.214155978107457	2.211166890305216	2.2170970017112666
XRCC4	UV_XRseq_NHF1_CPD_1h	2858691	37202820	9731538	170480964	1.3461253647619693	1.3442446752600954	1.347925384523151
AID_regions	UV_XRseq_NHF1_PP64_1h_Rep1	251892	785199	34789464	184447458	1.7008203748525819	1.69310484664415	1.7085596841091382
MSH6_control	UV_XRseq_NHF1_PP64_1h_Rep1	14597940	68816433	20443416	116416224	1.2079671789026645	1.2070762722792947	1.2088909575756643
SETD2_control	UV_XRseq_NHF1_PP64_1h_Rep1	10618194	72338997	24423162	112893660	0.6784951884296405	0.677966022593531	0.679046225960849
TP53_dauno_K562	UV_XRseq_NHF1_PP64_1h_Rep1	10829577	46390104	24211779	138842553	1.3387083262322625	1.337585590330598	1.3397184984239552
TP53_dauno_MOLM13	UV_XRseq_NHF1_PP64_1h_Rep1	3259353	14757426	31782003	170475231	1.1846813946529073	1.1831954111842493	1.1861867551590473
XRCC4	UV_XRseq_NHF1_PP64_1h_Rep1	8094807	31966704	26946549	153265953	1.440293438746465	1.4390125649541878	1.4415796867297879
AID_regions	MSH6_control	396660	640431	83017713	136219209	1.0162865621934107	1.0122815400488114	1.0203372172413827
SETD2_control	MSH6_control	38725995	44231196	44688378	92628444	1.8148054455675946	1.8137099959603495	1.815722287524259
TP53_dauno_K562	MSH6_control	23748450	33471231	59665923	103388409	1.229430199677666	1.228688361994573	1.2301481401970915
TP53_dauno_MOLM13	MSH6_control	7149525	10867254	76264848	125992386	1.0868678242279781	1.0858021227142365	1.0879015161447612
XRCC4	MSH6_control	15460167	24601344	67954206	112258296	1.0381740248774771	1.0373548810956386	1.0388562547750926
AID_regions	SETD2_control	277308	759783	82679883	136557039	0.602819734754908	0.6002035748894308	0.6054482876254575
TP53_dauno_K562	SETD2_control	18689724	38529957	64267467	98786865	0.7456133608689238	0.7451138384429976	0.746102624628472
TP53_dauno_MOLM13	SETD2_control	6240894	11775885	76716297	125540937	0.8672914795290986	0.8663762787854365	0.8681728339312665
XRCC4	SETD2_control	13570893	26490618	69386298	110826204	0.8182488476665556	0.8176608199709953	0.8188581548883939
AID_regions	XRCC4	243216	793875	39818295	179418627	1.380461949943279	1.3742004324539585	1.3867194237628477
TP53_dauno_K562	XRCC4	11694825	45524856	28366686	134687646	1.219693610762901	1.218778212026911	1.2206569758633297
TP53_dauno_MOLM13	XRCC4	3645174	14371605	36416337	165840897	1.1551016629568185	1.1536905297412763	1.156463243529937
AID_regions	TP53_dauno_K562	401679	635412	56818002	162418920	1.8070210323588711	1.7998602120354017	1.8143063704420108
TP53_dauno_MOLM13	TP53_dauno_K562	5506542	12510237	51713139	150544095	1.2813931390660298	1.2800506750074259	1.282755503864811
AID_regions	TP53_dauno_MOLM13	118440	918651	17898339	201338583	1.4503028149444377	1.4415039389355138	1.4591571118323576
